,geo_code,Income (F),Government Transfer (F)
721,35250552,20672,10208
722,35250553,24832,7392
723,35250554,26464,5312
724,35250555,28032,5040
725,35250556,33664,4960
726,35250557,20800,10400
727,35250558,29248,9760
728,35250559,30144,7680
729,35250560,28864,14656
730,35250561,41344,6896
731,35250562,33536,6064
732,35250563,23104,6752
733,35250564,32064,6928
734,35250565,36224,5904
735,35250566,32640,6128
736,35250567,29056,8512
737,35250568,23104,7792
738,35250569,21696,10784
739,35250570,29696,7152
740,35250571,23104,14416
741,35250572,29760,6128
742,35250573,36160,4944
743,35250574,30528,5200
744,35250578,25984,6704
745,35250579,31808,1576
746,35250580,28608,10016
747,35250581,30800,3464
748,35250582,31872,4656
749,35250583,36736,2240
750,35250585,26432,7568
751,35250586,34432,2968
752,35250587,30272,5744
753,35250588,24512,7744
754,35250589,32896,2840
755,35250590,33408,5920
756,35250591,34688,3296
757,35250592,32448,7024
758,35250593,21888,6592
759,35250594,30528,6416
760,35250595,34304,6864
761,35250596,25792,5184
762,35250597,32832,6032
763,35250598,28352,5520
764,35250599,18624,14080
765,35250600,27200,5936
766,35250601,25152,15520
767,35250602,26816,13664
768,35250603,28864,7568
769,35250604,26176,9376
770,35250605,18016,9568
771,35250606,30656,10176
772,35250607,27264,4944
773,35250608,20448,10731
774,35250609,35136,3560
775,35250610,32064,7264
776,35250611,22976,7328
777,35250612,28832,5968
778,35250613,27136,5520
779,35250614,30400,6616
780,35250615,33664,7888
781,35250616,36352,4072
782,35250617,20672,9984
783,35250618,32128,5488
784,35250619,32960,6368
785,35250620,31616,4496
786,35250621,31232,8096
787,35250622,22976,5568
788,35250623,34816,7008
789,35250624,28224,13600
790,35250625,22080,10592
791,35250626,24896,7360
792,35250627,28832,3376
793,35250628,17984,17621
794,35250629,24512,12288
795,35250630,25920,3544
796,35250631,28224,10624
797,35250632,25056,5328
798,35250633,0,0
799,35250634,22080,10880
800,35250635,25280,7312
801,35250636,33536,3400
802,35250637,24448,9360
803,35250638,33152,2120
804,35250639,24896,5584
805,35250640,31936,5792
806,35250641,28672,3800
807,35250642,21568,5696
808,35250643,32448,3000
809,35250644,24896,2012
810,35250645,33707,5248
811,35250646,34176,3704
812,35250647,36544,3520
813,35250648,25088,6256
814,35250649,25920,8480
815,35250650,26560,5152
816,35250651,30272,3312
817,35250652,30464,3288
818,35250655,33728,4437
819,35250656,24960,5861
820,35250657,29760,3560
821,35250658,29504,3480
822,35250659,20032,6456
823,35250661,31680,4084
824,35250662,34816,3292
825,35250663,32448,3240
826,35250664,34048,6800
827,35250665,31936,7248
828,35250666,33920,7920
829,35250667,0,0
830,35250668,15968,3384
831,35250669,10272,630
832,35250670,15424,694
833,35250671,20032,1788
834,35250672,10592,618
835,35250675,16832,1748
836,35250676,35968,2272
837,35250677,42624,3525
838,35250678,49792,3160
839,35250679,11021,559
840,35250680,14496,786
841,35250681,18624,3112
842,35250692,22848,9376
843,35250693,20416,8512
844,35250694,21440,6816
845,35250695,18880,13440
846,35250696,22784,11616
847,35250700,21696,6320
848,35250701,22187,10096
849,35250702,24128,7568
850,35250703,21376,8256
851,35250704,20416,9824
852,35250705,25856,5504
853,35250706,20544,8928
854,35250707,19456,8736
855,35250708,21056,10176
856,35250709,23360,7344
857,35250710,24640,8040
858,35250711,21632,6256
859,35250712,21472,4912
860,35250713,25408,5136
861,35250714,25344,9024
862,35250715,19648,7888
863,35250716,21824,7216
864,35250717,24512,3864
865,35250718,26176,8368
866,35250719,28448,7136
867,35250720,29376,3980
868,35250721,27712,6120
869,35250724,27968,4400
870,35250725,26080,6576
871,35250726,28320,5352
872,35250727,23104,8544
873,35250728,27712,5216
874,35250729,25216,5200
875,35250730,21504,11744
876,35250731,21184,9920
877,35250732,35712,5488
878,35250733,23872,4112
879,35250734,27712,4069
880,35250735,36992,7920
881,35250736,31808,4880
882,35250737,32576,6368
883,35250738,33408,3576
884,35250739,31168,6016
885,35250740,33920,7168
886,35250741,35456,6000
887,35250742,30112,5648
888,35250743,27328,7024
889,35250744,26272,6704
890,35250745,24512,7072
891,35250746,26464,7952
892,35250747,23552,6624
893,35250748,28160,4208
894,35250749,27712,7600
895,35250750,24928,6512
896,35250753,25280,6864
897,35250754,26560,5688
898,35250755,28704,6576
899,35250756,26816,5680
900,35250757,26624,9312
901,35250758,23488,9440
902,35250759,21312,7288
903,35250760,24928,7520
904,35250761,23872,7216
905,35250762,25024,9056
906,35250763,27968,8459
907,35250764,29248,6464
908,35250765,23104,7952
909,35250766,23392,8480
910,35250767,21440,8816
911,35250768,24128,6032
912,35250769,22891,10848
913,35250770,19584,8736
914,35250771,25888,6768
915,35250772,24512,5696
916,35250773,21440,6256
917,35250774,25792,7448
918,35250775,14496,10144
919,35250776,17440,8240
920,35250777,25280,7392
921,35250778,25536,8000
922,35250779,24128,6864
923,35250780,21952,6795
924,35250781,26048,7544
925,35250782,23936,7056
926,35250783,25216,5904
927,35250784,28288,6864
928,35250785,32896,4888
929,35250786,22336,7824
930,35250787,35968,5312
931,35250788,30208,4656
932,35250789,33280,5680
933,35250790,34560,4640
934,35250791,39040,5040
935,35250792,31552,4984
936,35250793,33280,5936
937,35250798,21760,3472
938,35250799,22208,7968
939,35250800,25280,6056
940,35250801,29120,12448
941,35250802,25792,3464
942,35250803,24000,6728
943,35250804,36480,4880
944,35250805,36224,4512
945,35250806,32896,4032
946,35250807,36608,3384
947,35250810,37376,3944
948,35250812,29120,5936
949,35250813,30912,5200
950,35250814,33408,4616
951,35250815,34048,6812
952,35250826,42176,3160
953,35250827,33664,7248
954,35250828,39552,5808
955,35250829,36480,5968
956,35250830,31936,7088
957,35250831,24640,13024
958,35250832,29760,13152
959,35250833,36224,3896
960,35250834,29504,7040
961,35250835,33792,6448
962,35250836,24192,5392
963,35250843,28992,7408
964,35250845,19744,11344
965,35250846,20672,15608
966,35250847,14880,3220
967,35250848,20352,2328
968,35250849,32320,4944
969,35250850,24512,7760
970,35250851,20624,9312
971,35250852,22784,7696
972,35250853,17952,8661
973,35250854,18880,660
974,35250855,16608,1224
