geo_code,,in labour force,not in labour force,employed,unemployed
35240783,male,100,45,90,10
35240785,female,250,105,230,20
35240785,male,275,65,270,10
35240807,female,260,180,245,10
35240807,male,225,130,220,0
35240808,female,165,315,150,10
35240808,male,160,190,145,15
35240809,female,10,20,0,0
35240809,male,25,10,20,0
35240898,female,845,245,775,70
35240898,male,940,195,905,35
35240903,female,x,x,x,x
35240903,male,x,x,x,x
35240904,female,425,200,385,40
35240904,male,445,140,410,25
35250030,female,105,70,95,10
35250030,male,110,65,110,0
35250031,female,110,65,110,10
35250031,male,115,45,115,0
35250032,female,150,95,145,0
35250032,male,200,85,175,25
35250033,female,140,85,130,10
35250033,male,170,60,170,10
35250034,female,220,80,205,20
35250034,male,215,70,210,0
35250035,female,125,70,120,0
35250035,male,130,60,125,0
35250036,female,140,90,140,0
35250036,male,155,60,145,0
35250037,female,120,100,120,10
35250037,male,170,70,170,10
35250038,female,165,195,155,0
35250038,male,160,105,150,10
35250039,female,125,140,125,0
35250039,male,75,50,70,10
35250040,female,90,150,90,10
35250040,male,70,90,70,10
35250041,female,120,115,110,10
35250041,male,120,70,115,10
35250042,female,70,20,60,10
35250042,male,70,30,60,0
35250043,female,155,130,140,15
35250043,male,185,80,160,25
35250044,female,80,80,85,0
35250044,male,90,65,85,10
35250045,female,120,65,105,15
35250045,male,135,55,125,10
35250046,female,135,90,120,20
35250046,male,175,40,160,10
35250047,female,135,140,130,0
35250047,male,165,80,155,10
35250048,female,65,50,60,0
35250048,male,75,40,70,0
35250049,female,110,55,110,0
35250049,male,105,35,95,10
35250050,female,145,65,135,15
35250050,male,100,55,95,10
35250051,female,340,280,330,10
35250051,male,355,220,335,20
35250052,female,70,65,65,0
35250052,male,75,55,75,0
35250053,female,160,110,165,0
35250053,male,190,110,180,15
35250054,female,90,90,85,0
35250054,male,90,45,90,0
35250055,female,205,110,205,0
35250055,male,180,75,180,10
35250056,female,55,40,50,10
35250056,male,75,30,65,10
35250059,female,345,155,315,35
35250059,male,350,115,330,20
35250060,female,170,130,165,0
35250060,male,165,95,155,15
35250061,female,90,100,85,10
35250061,male,105,60,105,0
35250062,female,160,85,140,15
35250062,male,170,75,160,10
35250064,female,195,145,190,15
35250064,male,200,130,195,10
35250065,female,155,60,150,0
35250065,male,170,65,155,10
35250066,female,110,70,105,0
35250066,male,90,70,90,0
35250067,female,165,105,145,20
35250067,male,175,65,170,10
35250070,female,100,95,95,0
35250070,male,145,70,125,20
35250073,female,145,60,140,10
35250073,male,120,50,110,15
35250074,female,70,60,60,10
35250074,male,60,55,65,0
35250075,female,105,60,100,10
35250075,male,140,65,135,0
35250077,female,160,135,150,0
35250077,male,145,70,130,15
35250078,female,110,60,110,0
35250078,male,115,60,95,15
35250079,female,50,55,45,0
35250079,male,75,55,65,10
35250080,female,145,140,140,0
35250080,male,160,90,130,30
35250081,female,305,165,280,25
35250081,male,275,130,240,30
35250082,female,45,65,50,0
35250082,male,55,45,50,0
35250083,female,140,175,120,20
35250083,male,180,90,115,60
35250084,female,75,60,60,10
35250084,male,85,40,80,10
35250085,female,80,55,75,10
35250085,male,95,25,85,0
35250086,female,115,65,110,10
35250086,male,85,55,90,0
35250087,female,100,110,90,10
35250087,male,110,85,100,10
35250088,female,100,90,95,0
35250088,male,90,75,75,15
35250089,female,145,140,145,0
35250089,male,115,70,105,10
35250093,female,135,105,125,10
35250093,male,160,55,140,15
35250094,female,90,85,85,15
35250094,male,90,40,75,15
35250095,female,115,90,95,25
35250095,male,155,75,130,30
35250096,female,170,75,160,15
35250096,male,155,70,135,20
35250097,female,70,80,75,0
35250097,male,80,45,60,20
35250098,female,45,55,40,10
35250098,male,60,65,55,10
35250099,female,195,165,190,10
35250099,male,235,125,230,10
35250100,female,135,90,130,10
35250100,male,125,55,105,15
35250101,female,105,95,105,0
35250101,male,130,60,130,0
35250102,female,55,55,60,0
35250102,male,95,50,95,0
35250105,female,120,130,120,0
35250105,male,170,90,170,0
35250106,female,100,110,100,0
35250106,male,115,55,110,0
35250107,female,145,90,140,10
35250107,male,135,70,130,10
35250108,female,85,110,75,10
35250108,male,135,85,130,0
35250109,female,165,125,155,10
35250109,male,140,155,140,0
35250110,female,130,105,120,0
35250110,male,145,85,140,10
35250111,female,100,250,95,0
35250111,male,90,70,80,10
35250112,female,80,105,70,10
35250112,male,85,60,70,15
35250113,female,75,50,65,10
35250113,male,120,60,105,15
35250114,female,90,65,75,15
35250114,male,85,65,80,10
35250115,female,405,235,365,35
35250115,male,365,115,330,40
35250116,female,230,95,215,15
35250116,male,200,90,190,10
35250117,female,55,40,55,0
35250117,male,60,35,60,10
35250118,female,115,65,110,0
35250118,male,85,60,80,0
35250119,female,120,80,120,0
35250119,male,125,55,110,10
35250120,female,140,40,125,15
35250120,male,135,35,115,25
35250121,female,165,90,160,0
35250121,male,90,50,80,15
35250122,female,85,55,80,0
35250122,male,90,50,75,10
35250123,female,85,65,75,10
35250123,male,120,50,115,0
35250124,female,125,75,110,20
35250124,male,115,65,90,20
35250125,female,95,60,90,10
35250125,male,85,40,75,0
35250126,female,160,105,125,35
35250126,male,175,55,160,20
35250127,female,445,220,410,35
35250127,male,490,155,435,60
35250128,female,150,60,130,25
35250128,male,155,55,145,10
35250129,female,95,60,95,10
35250129,male,95,40,90,0
35250130,female,105,60,100,0
35250130,male,110,45,110,0
35250133,female,0,210,0,0
35250133,male,15,80,10,0
35250134,female,185,145,170,10
35250134,male,160,120,155,0
35250135,female,510,240,455,50
35250135,male,505,155,470,40
35250136,female,105,40,105,10
35250136,male,95,55,85,10
35250137,female,100,60,100,0
35250137,male,100,50,85,15
35250144,female,420,200,405,15
35250144,male,480,120,440,40
35250145,female,135,50,125,10
35250145,male,120,25,120,10
35250146,female,180,145,175,10
35250146,male,250,135,250,0
35250147,female,105,70,95,15
35250147,male,95,85,80,10
35250148,female,140,75,135,10
