,geo_code,Couples with Children,Couples with 1 Child,Couples with 2 Chidren,Couples with 3 Chidlren
533,35250353,60,25,15,15
534,35250354,80,40,35,35
535,35250355,75,40,30,30
536,35250356,75,30,40,40
537,35250357,55,40,20,20
538,35250358,80,25,20,20
539,35250359,55,35,20,20
540,35250360,60,40,30,30
541,35250361,70,25,20,20
542,35250362,55,30,15,15
543,35250363,50,20,10,10
544,35250364,20,5,10,10
545,35250365,105,30,20,20
546,35250366,75,30,15,15
547,35250367,55,40,20,20
548,35250368,50,20,20,20
549,35250369,50,25,25,25
550,35250370,50,10,15,15
551,35250371,60,30,25,25
552,35250372,60,35,25,25
553,35250373,50,20,20,20
554,35250374,55,25,30,30
555,35250375,65,25,25,25
556,35250376,60,20,20,20
557,35250377,60,35,30,30
558,35250378,60,20,15,15
559,35250379,50,10,15,15
560,35250380,45,35,30,30
561,35250381,65,20,20,20
562,35250382,50,30,25,25
563,35250383,55,25,20,20
564,35250384,25,15,20,20
565,35250385,40,30,20,20
566,35250387,55,25,30,30
567,35250388,50,25,40,40
568,35250389,55,15,15,15
569,35250390,65,25,15,15
570,35250391,75,10,20,20
571,35250392,60,20,20,20
572,35250393,60,10,5,5
573,35250394,100,20,15,15
574,35250395,85,20,5,5
575,35250396,65,20,15,15
576,35250397,75,20,10,10
577,35250398,5,0,0,0
578,35250399,25,0,0,0
579,35250400,80,10,5,5
580,35250401,75,15,15,15
581,35250402,60,30,5,5
582,35250403,90,25,5,5
583,35250404,50,15,25,25
584,35250405,50,30,10,10
585,35250406,65,20,10,10
586,35250407,50,15,15,15
587,35250408,35,15,15,15
588,35250409,40,5,15,15
589,35250410,40,15,15,15
590,35250411,50,20,20,20
591,35250412,35,15,10,10
592,35250413,65,25,15,15
593,35250416,55,15,25,25
594,35250417,45,15,5,5
595,35250418,50,15,10,10
596,35250419,70,10,10,10
597,35250420,140,25,10,10
598,35250421,90,20,5,5
599,35250422,60,15,0,0
600,35250423,70,15,15,15
601,35250424,70,5,5,5
602,35250425,90,15,10,10
603,35250426,65,5,15,15
604,35250427,45,5,5,5
605,35250428,40,15,20,20
606,35250429,40,15,15,15
607,35250430,50,20,5,5
608,35250431,60,20,10,10
609,35250434,105,40,25,25
610,35250435,45,10,0,0
611,35250436,45,15,10,10
612,35250437,45,10,5,5
613,35250438,30,10,5,5
614,35250439,55,25,20,20
615,35250440,75,15,5,5
616,35250441,80,20,10,10
617,35250442,60,35,15,15
618,35250443,50,30,20,20
619,35250444,60,10,10,10
620,35250445,35,30,15,15
621,35250446,60,20,20,20
622,35250447,25,10,10,10
623,35250448,60,30,15,15
624,35250449,25,10,10,10
625,35250450,55,25,10,10
626,35250451,20,10,10,10
627,35250452,45,10,5,5
628,35250453,35,15,5,5
629,35250454,60,30,15,15
630,35250455,50,15,5,5
631,35250456,45,15,5,5
632,35250457,0,0,0,0
633,35250458,35,10,5,5
634,35250459,55,25,15,15
635,35250460,25,15,10,10
636,35250461,30,15,25,25
637,35250462,45,15,15,15
638,35250463,50,15,5,5
639,35250464,30,15,10,10
640,35250465,60,20,5,5
641,35250466,30,10,10,10
642,35250467,55,20,5,5
643,35250468,50,5,10,10
