,geo_code,household_income
659,35250486,25088
660,35250487,27968
661,35250488,26784
662,35250489,25920
663,35250490,28544
664,35250491,20416
665,35250492,27712
666,35250493,30272
667,35250494,25152
668,35250495,26976
669,35250496,0
670,35250497,24912
671,35250498,23616
672,35250499,29760
673,35250501,39360
674,35250502,39979
675,35250503,26464
676,35250504,15456
677,35250506,39424
678,35250507,37803
679,35250508,58688
680,35250509,44096
681,35250510,54272
682,35250511,40000
683,35250512,38229
684,35250513,35200
685,35250514,54144
686,35250515,49088
687,35250516,41813
688,35250517,40832
689,35250518,42368
690,35250519,35072
691,35250520,33664
692,35250521,30400
693,35250522,0
694,35250523,31648
695,35250524,28429
696,35250525,31552
697,35250526,22869
698,35250527,33152
699,35250528,33408
700,35250529,28224
701,35250530,28864
702,35250531,30656
703,35250532,32032
704,35250533,23979
705,35250534,31104
706,35250535,28757
707,35250536,30528
708,35250537,30784
709,35250538,35584
710,35250539,33536
711,35250540,35552
712,35250541,31872
713,35250542,32288
714,35250545,31424
715,35250546,23744
716,35250547,29760
717,35250548,27392
718,35250549,31552
719,35250550,34176
720,35250551,31808
721,35250552,26176
722,35250553,29995
723,35250554,32960
724,35250555,33254
725,35250556,37376
726,35250557,26176
727,35250558,34133
728,35250559,34944
729,35250560,33510
730,35250561,41472
731,35250562,31840
732,35250563,26816
733,35250564,37760
734,35250565,37760
735,35250566,37461
736,35250567,30624
737,35250568,30016
738,35250569,30208
739,35250570,32640
740,35250571,28608
741,35250572,32128
742,35250573,34662
743,35250574,33920
744,35250578,30272
745,35250579,35200
746,35250580,24000
747,35250581,33792
748,35250582,35456
749,35250583,40960
750,35250585,28928
751,35250586,36838
752,35250587,36224
753,35250588,30720
754,35250589,38976
755,35250590,37568
756,35250591,37120
757,35250592,32896
758,35250593,26112
759,35250594,30656
760,35250595,32384
761,35250596,31040
762,35250597,30304
763,35250598,34475
764,35250599,25568
765,35250600,25280
766,35250601,20693
767,35250602,28672
768,35250603,34517
769,35250604,36224
770,35250605,23808
771,35250606,35744
772,35250607,32512
773,35250608,22976
774,35250609,36736
775,35250610,33408
776,35250611,25344
777,35250612,32192
778,35250613,29024
779,35250614,34432
780,35250615,31616
781,35250616,32128
782,35250617,26848
783,35250618,32384
784,35250619,34016
785,35250620,38272
786,35250621,32480
787,35250622,26752
788,35250623,32896
789,35250624,27136
790,35250625,29376
791,35250626,32320
792,35250627,28902
793,35250628,20320
794,35250629,25600
795,35250630,33216
796,35250631,34261
797,35250632,24704
798,35250633,0
799,35250634,25600
800,35250635,33664
801,35250636,33248
802,35250637,30315
803,35250638,33152
804,35250639,28992
805,35250640,28960
806,35250641,37056
807,35250642,23296
808,35250643,34432
809,35250644,36352
810,35250645,36544
811,35250646,37035
812,35250647,36864
813,35250648,28768
814,35250649,31808
815,35250650,27232
816,35250651,38059
817,35250652,35840
818,35250655,37171
819,35250656,28352
820,35250657,34176
821,35250658,44224
822,35250659,28352
823,35250661,36544
824,35250662,39834
825,35250663,35200
826,35250664,37632
827,35250665,40021
828,35250666,43200
829,35250667,0
830,35250668,18624
831,35250669,15893
832,35250670,25536
833,35250671,23648
834,35250672,20704
835,35250675,24235
836,35250676,32704
837,35250677,57344
838,35250678,74667
839,35250679,19136
840,35250680,18560
841,35250681,24928
842,35250692,23467
843,35250693,20501
844,35250694,22592
845,35250695,19200
846,35250696,19584
847,35250700,22016
848,35250701,24512
849,35250702,23808
850,35250703,23840
851,35250704,24768
852,35250705,27712
853,35250706,26816
854,35250707,25024
855,35250708,24981
856,35250709,27456
857,35250710,27040
858,35250711,31552
859,35250712,26816
860,35250713,30912
861,35250714,27072
862,35250715,24512
863,35250716,26624
864,35250717,26176
865,35250718,26112
866,35250719,26432
867,35250720,25760
868,35250721,23258
869,35250724,31488
870,35250725,34432
871,35250726,33408
872,35250727,29312
873,35250728,29184
874,35250729,25280
875,35250730,23776
876,35250731,21952
877,35250732,41856
878,35250733,35200
879,35250734,26560
880,35250735,40768
881,35250736,36352
882,35250737,36416
883,35250738,40576
884,35250739,34278
885,35250740,32320
886,35250741,37824
887,35250742,38784
888,35250743,33707
889,35250744,32405
890,35250745,29024
891,35250746,31264
892,35250747,27712
893,35250748,31488
894,35250749,25568
895,35250750,29248
896,35250753,29568
897,35250754,31296
898,35250755,34560
899,35250756,29248
900,35250757,24928
901,35250758,22131
902,35250759,26944
903,35250760,26208
904,35250761,26048
905,35250762,22720
906,35250763,31552
907,35250764,33088
908,35250765,25792
909,35250766,27627
910,35250767,26208
911,35250768,25963
912,35250769,25664
913,35250770,22432
914,35250771,26432
915,35250772,26144
916,35250773,25184
917,35250774,26304
918,35250775,18816
