index,geo_code,gender,0_4_years,10_14_years,15_19_years,20_24_years,25_29_years,30_34_years,35_39_years,40_44_years,45_49_years,50_54_years,55_59_years,60_64_years,65_69_years,70_74_years,75_79_years,80_84_years,85_89_years,90_94_years,95_99_years,100_years
124,35240382,female,5,15,15,20,5,5,5,15,15,30,20,15,10,15,10,5,0,0,0,0
125,35240382,male,5,5,20,15,5,5,5,10,15,30,20,15,15,10,10,5,0,0,0,0
126,35240383,female,15,15,20,10,5,15,5,15,20,25,15,20,20,20,5,5,0,0,0,0
127,35240383,male,15,15,15,25,10,10,20,10,15,15,20,15,25,15,5,5,0,0,0,0
128,35240384,female,10,25,15,15,10,15,20,25,25,20,25,20,25,15,10,5,5,0,0,0
129,35240384,male,10,20,25,15,15,10,20,20,20,20,20,20,25,15,10,5,5,0,0,0
130,35240385,female,10,10,10,10,10,5,10,5,15,20,25,10,15,20,10,5,0,0,0,0
131,35240385,male,15,20,10,20,10,5,5,10,10,20,20,20,20,15,15,5,0,0,0,0
132,35240386,female,10,5,0,15,10,0,5,10,10,5,15,10,5,5,5,0,0,0,0,0
133,35240386,male,10,5,5,10,10,0,10,10,5,5,15,5,10,10,0,0,0,0,0,0
134,35240387,female,10,10,10,10,5,15,15,15,15,20,20,20,25,35,10,10,5,5,0,0
135,35240387,male,10,15,10,15,10,5,10,15,15,20,10,20,20,15,15,10,5,5,0,0
136,35240388,female,10,15,25,20,10,15,10,10,20,40,40,50,45,35,20,15,5,0,0,0
137,35240388,male,10,25,20,20,20,10,15,20,20,30,35,50,35,40,25,20,5,0,0,0
138,35240391,female,10,5,5,10,15,10,5,20,5,20,20,20,20,30,20,15,0,5,0,0
139,35240391,male,5,5,10,10,10,5,5,10,20,10,20,10,10,15,15,15,5,5,0,0
140,35240392,female,10,15,15,5,20,20,25,15,20,25,35,35,35,15,10,15,5,0,0,0
141,35240392,male,15,10,15,25,30,20,15,15,25,30,25,25,25,20,5,10,5,5,5,0
142,35240393,female,15,15,15,15,10,10,15,20,20,25,25,30,20,15,15,5,10,5,5,0
143,35240393,male,15,15,5,10,5,10,15,25,20,20,20,30,20,20,10,5,5,0,0,0
144,35240394,female,10,10,15,5,5,5,10,15,15,25,15,25,20,10,10,15,5,5,0,0
145,35240394,male,5,15,10,20,5,5,5,10,10,25,15,20,15,10,15,10,0,0,0,0
146,35240395,female,5,15,15,20,15,15,10,15,15,30,30,30,25,15,5,10,0,0,0,0
147,35240395,male,15,20,10,20,20,20,15,15,15,25,20,25,30,15,10,5,5,5,5,0
148,35240396,female,5,5,10,5,10,5,10,10,20,20,15,15,20,15,5,10,10,20,5,0
149,35240396,male,5,10,15,10,15,5,5,5,10,15,10,15,10,20,15,5,10,5,5,0
150,35240397,female,50,25,25,35,65,65,60,45,50,75,85,130,180,165,145,115,80,30,10,5
151,35240397,male,50,20,25,30,50,65,60,40,40,60,80,90,120,125,105,100,55,20,5,0
152,35240398,female,5,10,10,15,0,5,10,5,20,25,25,25,35,35,45,45,20,10,5,0
153,35240398,male,5,20,15,10,5,5,10,5,15,20,25,25,30,30,30,25,20,5,0,0
154,35240399,female,5,15,20,15,10,5,10,15,20,25,35,30,20,20,20,25,40,30,0,0
155,35240399,male,15,20,25,15,10,10,15,15,15,25,35,35,30,15,10,15,15,15,5,0
156,35240400,female,40,55,45,35,25,40,55,55,55,65,75,50,30,40,30,10,5,5,0,0
157,35240400,male,35,50,45,45,30,25,35,50,45,75,50,40,30,35,30,15,5,0,0,0
158,35240401,female,20,20,15,25,20,30,25,25,20,40,45,45,30,20,10,5,5,0,0,0
159,35240401,male,15,15,5,25,20,25,30,30,20,30,45,25,30,20,10,10,0,5,5,0
160,35240402,female,10,5,20,10,10,10,10,15,10,25,20,15,10,10,10,15,20,15,5,5
161,35240402,male,15,20,15,20,10,15,20,25,15,15,30,10,10,10,5,10,5,5,0,0
162,35240403,female,10,10,15,10,15,5,10,5,15,15,15,20,15,20,15,25,30,25,10,5
163,35240403,male,10,5,15,10,10,10,5,15,15,20,15,15,15,15,10,15,10,5,0,0
164,35240404,female,15,20,15,20,10,10,15,20,30,30,35,30,25,25,15,10,10,5,5,0
165,35240404,male,15,10,15,15,15,15,15,15,20,30,35,25,25,20,10,10,5,0,0,0
166,35240405,female,15,15,20,30,10,15,25,25,35,30,25,25,40,30,25,15,10,5,0,0
167,35240405,male,15,15,15,20,10,15,25,15,25,30,30,35,30,20,15,15,15,0,0,0
168,35240406,female,5,5,10,5,10,10,10,5,20,10,15,10,15,10,10,10,0,0,5,0
169,35240406,male,15,5,10,10,5,10,15,5,10,15,10,15,10,5,10,5,0,0,0,0
170,35240409,female,30,30,20,20,25,25,30,30,30,20,20,10,5,5,5,0,0,0,0,0
171,35240409,male,30,20,15,25,25,25,30,30,15,15,10,10,10,5,0,0,0,0,0,0
172,35240410,female,10,10,10,5,15,10,15,10,10,15,5,5,10,0,5,5,5,0,0,0
173,35240410,male,10,10,5,10,10,10,15,15,15,15,5,0,15,0,5,5,5,5,0,0
174,35240411,female,5,10,15,5,15,15,15,10,20,30,25,20,30,15,10,5,5,0,0,0
175,35240411,male,15,10,15,30,15,20,10,15,20,25,25,25,15,20,15,5,5,0,0,0
176,35240412,female,10,15,10,10,10,15,5,15,15,15,20,20,15,10,5,5,5,0,0,0
177,35240412,male,10,15,15,15,10,15,10,10,20,15,20,20,15,15,10,0,0,0,0,0
178,35240413,female,15,15,20,15,10,15,10,10,25,20,20,10,15,15,5,10,5,0,0,0
179,35240413,male,15,15,10,15,10,15,10,20,20,25,15,20,15,5,5,5,5,0,0,0
180,35240414,female,10,10,10,15,15,15,15,15,20,15,20,20,15,10,5,5,0,5,0,0
181,35240414,male,15,15,10,10,10,15,15,15,15,15,20,5,15,15,5,5,0,0,0,0
182,35240417,female,10,0,10,25,35,30,20,25,25,25,20,15,15,20,20,15,10,10,0,0
183,35240417,male,5,5,15,15,45,25,25,20,20,25,25,10,10,5,10,15,5,5,0,0
184,35240420,female,5,5,15,20,10,10,10,20,25,35,30,20,10,10,5,5,0,0,0,0
185,35240420,male,10,20,10,25,15,10,15,15,20,30,20,15,20,5,5,5,0,0,0,0
186,35240421,female,5,5,5,10,5,15,5,15,15,15,15,20,10,10,10,10,5,0,0,0
187,35240421,male,10,5,10,10,5,10,5,10,15,20,15,25,5,5,5,0,0,0,0,0
188,35240422,female,10,10,5,15,10,20,20,5,15,15,20,20,15,50,25,25,25,5,5,0
189,35240422,male,10,5,5,10,15,15,15,15,20,15,20,25,20,20,15,10,5,5,0,0
190,35240423,female,0,5,5,15,35,20,5,15,15,25,30,25,45,40,35,25,20,15,0,0
191,35240423,male,5,5,5,10,15,25,5,10,10,20,25,20,10,15,15,10,10,5,0,0
192,35240425,female,10,5,15,10,20,15,10,20,20,15,25,15,20,5,0,5,0,0,0,0
193,35240425,male,5,10,5,15,15,15,10,15,20,25,20,20,5,5,5,5,0,0,0,0
194,35240427,female,5,5,5,15,30,40,20,20,25,35,60,45,65,55,35,55,35,25,5,0
195,35240427,male,5,5,10,15,35,25,30,20,25,30,35,50,50,35,35,25,35,15,0,0
196,35240428,female,10,5,15,15,25,15,15,5,20,15,25,20,30,15,10,5,15,5,0,0
197,35240428,male,5,10,5,10,30,15,25,15,15,10,15,20,15,15,10,5,5,5,0,0
198,35240429,female,10,10,5,15,20,15,15,15,15,20,30,25,35,15,25,20,15,25,5,0
199,35240429,male,10,10,15,10,10,10,10,15,15,15,15,10,20,20,10,5,10,5,0,0
200,35240431,female,5,5,10,15,5,5,5,10,10,25,15,10,10,5,10,5,0,0,0,0
201,35240431,male,0,10,10,15,5,0,5,5,20,20,20,10,5,5,10,5,0,0,0,0
202,35240432,female,5,15,15,10,10,15,5,10,15,15,20,25,20,25,15,10,5,10,0,0
203,35240432,male,10,15,10,10,15,5,10,10,15,15,30,20,25,25,10,10,10,5,0,0
204,35240433,female,20,20,15,15,10,20,15,20,25,40,30,25,15,15,5,5,5,5,0,0
205,35240433,male,15,15,10,25,10,10,15,20,25,30,35,15,15,10,5,5,5,0,0,0
206,35240436,female,5,5,5,0,10,10,10,5,15,15,10,5,15,5,10,5,0,0,5,0
207,35240436,male,5,5,0,10,10,5,10,5,10,15,10,5,5,5,5,0,5,0,0,0
208,35240437,female,10,5,10,15,10,15,15,15,15,20,25,25,25,30,40,20,15,10,0,0
209,35240437,male,15,5,10,20,15,10,15,5,15,15,20,20,20,25,10,10,5,0,0,0
210,35240438,female,10,10,15,15,15,10,30,20,20,35,25,20,10,15,10,10,5,0,0,0
211,35240438,male,15,20,15,35,10,15,20,15,15,35,30,20,10,10,5,5,10,0,0,0
212,35240439,female,15,10,10,15,10,15,15,15,25,20,15,25,15,10,10,15,10,5,0,0
213,35240439,male,15,10,15,25,15,10,5,20,20,30,15,15,10,5,5,5,10,5,0,0
214,35240440,female,5,10,5,15,15,15,10,10,25,25,20,25,20,5,10,5,5,5,0,0
215,35240440,male,10,5,10,10,20,20,10,15,15,15,30,15,20,10,15,0,5,5,0,0
216,35240441,female,20,15,20,20,20,25,20,20,20,40,30,20,15,20,5,15,5,0,0,0
217,35240441,male,10,15,15,25,25,20,20,15,25,30,25,30,20,10,10,5,5,0,0,0
218,35240442,female,5,10,20,15,5,10,10,10,25,20,15,20,20,10,10,0,5,5,0,0
219,35240442,male,15,5,20,15,10,10,20,10,20,20,30,15,20,10,0,0,5,5,0,0
220,35240443,female,20,10,15,30,10,15,20,25,20,35,25,20,20,20,5,10,5,5,0,0
221,35240443,male,20,15,20,10,10,10,25,25,20,35,30,15,15,15,10,5,0,0,0,0
222,35240444,female,15,15,10,5,15,20,15,15,15,20,20,20,20,5,5,5,5,0,5,0
223,35240444,male,10,15,20,20,15,10,15,10,15,10,30,25,10,10,5,5,0,0,0,0
224,35240445,female,10,15,15,25,30,20,20,25,20,25,20,15,15,20,5,10,0,5,0,0
225,35240445,male,15,15,15,20,25,35,30,20,25,25,20,20,5,15,10,5,0,0,0,0
226,35240446,female,0,10,10,10,15,20,10,15,15,25,30,30,25,30,45,45,40,20,5,0
227,35240446,male,10,5,5,15,15,25,20,10,15,20,20,20,30,20,15,30,30,10,0,0
228,35240447,female,5,10,10,40,45,35,35,20,25,15,25,10,10,15,15,5,5,5,0,0
229,35240447,male,10,10,10,25,40,20,25,20,20,20,15,20,15,10,10,5,5,0,0,0
230,35240448,female,20,10,15,20,10,25,15,10,25,25,15,25,15,15,10,10,5,5,0,0
231,35240448,male,15,15,15,20,15,15,25,20,25,20,20,15,10,20,5,5,5,5,0,0
232,35240449,female,10,5,5,10,15,15,20,15,10,10,5,5,10,0,0,5,0,0,0,0
233,35240449,male,15,5,15,15,10,15,15,10,10,15,5,5,5,0,0,0,0,0,0,0
234,35240450,female,25,20,15,15,20,25,20,30,20,30,20,25,20,10,10,10,0,0,0,0
235,35240450,male,20,15,20,25,15,25,20,30,25,25,25,20,10,15,10,0,0,5,0,0
236,35240451,female,15,10,10,10,35,30,25,20,15,20,10,15,10,5,5,5,5,5,0,0
237,35240451,male,25,15,10,10,35,30,20,20,30,15,20,15,15,5,5,5,0,0,0,0
238,35240452,female,10,15,15,5,20,20,15,15,15,10,20,20,20,5,5,0,0,0,0,0
239,35240452,male,10,5,10,15,20,20,15,15,20,30,25,20,10,10,0,0,0,0,0,0
240,35240453,female,5,20,25,15,10,15,25,15,35,20,20,15,15,15,15,0,0,0,0,0
241,35240453,male,15,25,20,20,15,15,20,20,25,25,15,25,10,15,5,5,0,0,0,0
242,35240455,female,10,5,5,10,15,5,10,10,10,15,30,35,35,45,65,60,40,20,5,0
243,35240455,male,5,0,5,10,10,10,10,15,5,20,20,20,15,15,30,30,25,5,0,0
244,35240459,female,15,20,15,5,10,10,15,15,15,20,15,15,10,15,5,10,5,0,0,0
245,35240459,male,15,10,15,5,5,5,5,20,20,15,10,15,5,10,10,5,0,0,0,0
246,35240460,female,10,5,15,10,5,15,10,5,25,20,15,15,15,15,15,10,0,0,0,0
247,35240460,male,10,0,15,15,10,5,5,15,10,20,20,15,15,10,10,10,5,0,0,0
248,35240461,female,10,15,15,20,10,10,10,15,15,20,20,25,20,10,10,0,5,0,0,0
249,35240461,male,10,15,15,25,15,5,10,25,15,20,20,15,15,10,5,10,0,0,0,0
250,35240462,female,10,0,10,5,5,10,5,5,20,10,15,30,25,25,20,10,5,0,0,0
251,35240462,male,5,10,5,5,5,10,5,10,15,10,10,10,20,25,15,10,10,0,0,0
252,35240463,female,15,10,30,25,15,15,20,20,20,25,20,15,10,20,15,15,10,5,5,0
253,35240463,male,20,15,20,15,15,20,20,20,20,25,25,15,10,15,10,15,10,5,0,0
254,35240464,female,5,5,10,0,10,10,15,5,10,15,20,15,10,10,10,10,10,20,0,0
255,35240464,male,0,5,5,5,10,5,10,10,10,10,5,10,5,10,5,5,0,5,0,0
256,35240465,female,20,5,10,20,25,25,30,20,30,30,35,55,80,60,55,45,30,15,0,0
257,35240465,male,15,10,10,15,30,35,25,25,10,25,25,35,35,35,30,10,10,0,0,0
258,35240466,female,20,10,15,20,15,25,25,15,30,25,25,30,30,30,15,15,10,5,0,0
259,35240466,male,15,5,15,10,20,25,15,20,30,20,30,15,20,10,15,10,10,5,0,0
260,35240467,female,10,20,5,15,10,15,10,15,25,20,25,15,25,15,35,20,25,5,0,0
261,35240467,male,10,20,25,20,5,0,15,15,15,30,25,15,20,10,10,15,10,5,0,0
262,35240468,female,5,25,20,15,10,5,15,20,20,25,20,25,5,10,5,5,0,0,0,0
263,35240468,male,0,20,25,15,10,10,0,25,15,25,20,25,10,15,5,5,0,0,0,0
264,35240469,female,10,10,10,15,20,15,10,15,20,20,15,20,20,15,15,5,5,5,0,0
265,35240469,male,15,10,15,15,10,20,10,15,25,20,10,25,10,10,5,5,0,5,0,0
266,35240470,female,10,30,15,30,10,15,5,20,20,20,25,30,15,10,10,5,5,5,0,0
267,35240470,male,15,15,15,20,10,10,10,15,25,20,35,20,20,15,15,10,5,5,0,0
268,35240471,female,20,20,20,10,0,5,15,30,20,20,20,10,10,10,10,10,0,0,0,0
269,35240471,male,5,30,20,20,10,10,10,20,15,25,15,20,15,15,5,5,5,5,0,0
270,35240472,female,20,20,30,25,5,10,20,30,30,30,25,25,20,15,20,5,5,5,0,0
271,35240472,male,10,15,30,15,5,10,15,25,30,25,30,20,15,15,15,15,0,0,0,0
272,35240473,female,5,25,15,15,10,5,20,20,20,20,30,10,15,10,5,10,10,0,0,0
273,35240473,male,20,25,20,10,10,5,10,25,20,25,25,10,15,15,5,5,10,0,0,0
274,35240474,female,10,15,25,20,10,10,25,15,30,30,20,15,20,20,15,10,5,5,0,0
275,35240474,male,15,20,25,20,15,5,15,15,20,35,20,25,15,20,10,10,10,0,0,0
276,35240475,female,10,25,30,15,10,15,20,25,30,25,25,15,20,15,5,10,10,0,0,0
277,35240475,male,15,30,20,25,10,5,20,15,20,40,25,10,25,10,15,15,10,5,0,0
278,35240476,female,10,35,25,15,0,15,10,20,30,20,20,20,15,10,10,10,0,5,0,0
279,35240476,male,10,20,25,20,10,10,15,15,25,20,25,10,20,5,10,15,5,0,0,0
