,geo_code,In Labour Force (M),Not in Labour Force (M),Employed (M),Unemployed (M)
877,35250251,105,45,105,0
879,35250254,190,110,170,20
881,35250255,130,85,115,15
883,35250256,130,105,125,0
885,35250257,150,120,145,10
887,35250258,135,145,130,0
889,35250259,145,85,140,0
891,35250260,105,95,100,10
893,35250261,100,70,90,10
895,35250262,130,105,125,0
897,35250263,270,100,260,10
899,35250264,110,75,95,10
901,35250265,95,55,100,0
903,35250266,95,65,95,0
905,35250267,165,75,145,15
907,35250269,55,50,50,0
909,35250270,80,40,75,0
911,35250271,115,85,110,10
913,35250272,75,80,65,15
915,35250273,120,45,100,20
917,35250274,275,80,260,15
919,35250275,160,80,150,20
921,35250276,160,100,145,10
923,35250277,75,50,75,0
925,35250278,130,60,120,10
927,35250279,195,115,170,25
929,35250280,110,80,100,10
931,35250281,150,60,130,20
933,35250282,140,100,135,0
935,35250283,135,90,115,20
937,35250284,105,85,95,10
939,35250285,195,110,185,10
941,35250286,65,90,60,0
943,35250287,210,100,205,10
945,35250288,130,55,120,10
947,35250289,175,95,160,15
949,35250290,170,110,155,10
951,35250291,280,135,270,10
953,35250293,285,130,255,30
955,35250294,130,70,125,10
957,35250295,125,45,115,10
959,35250296,100,75,95,0
961,35250297,130,120,120,10
963,35250298,145,85,140,0
965,35250299,180,85,165,15
967,35250300,255,115,255,0
969,35250302,85,95,75,10
971,35250303,95,115,85,0
973,35250304,180,90,170,10
975,35250305,145,90,135,15
977,35250306,110,35,105,0
979,35250307,140,60,125,20
981,35250308,235,90,235,0
983,35250309,95,65,95,0
985,35250310,120,70,120,0
987,35250311,175,60,160,15
989,35250312,130,45,125,10
991,35250313,195,135,180,15
993,35250315,105,175,105,0
995,35250316,145,70,140,10
997,35250317,170,65,160,15
999,35250318,35,15,35,0
1001,35250319,120,25,120,0
1003,35250320,125,70,115,10
1005,35250321,75,70,75,0
1007,35250322,100,75,85,15
1009,35250323,130,85,125,10
1011,35250324,75,110,60,10
1013,35250326,120,40,110,15
1015,35250327,180,105,170,10
1017,35250328,95,70,85,10
1019,35250329,160,65,160,0
1021,35250330,70,55,60,10
1023,35250331,75,70,75,10
1025,35250332,170,55,160,0
1027,35250333,170,65,160,10
1029,35250334,155,100,140,10
1031,35250335,110,65,90,20
1033,35250336,110,65,100,10
1035,35250337,190,120,190,10
1037,35250338,205,105,185,20
1039,35250339,175,65,165,10
1041,35250340,105,35,85,20
1043,35250341,110,110,105,10
1045,35250342,145,60,130,20
1047,35250343,110,100,105,10
1049,35250344,125,95,115,10
1051,35250345,130,35,125,10
1053,35250346,115,80,105,10
1055,35250347,150,50,140,10
1057,35250348,200,75,180,20
1059,35250349,120,40,115,0
1061,35250350,200,90,185,15
1063,35250351,70,55,55,15
