,geo_code,1 child,2 children,3 or more children
784,35250619,15,5,5
785,35250620,5,5,5
786,35250621,30,15,10
787,35250622,20,15,5
788,35250623,20,5,5
789,35250624,10,0,0
790,35250625,15,10,10
791,35250626,25,10,5
792,35250627,10,5,0
793,35250628,5,5,0
794,35250629,30,20,10
795,35250630,10,5,5
796,35250631,15,0,5
797,35250632,45,10,0
798,35250633,5,5,0
799,35250634,50,35,20
800,35250635,15,10,10
801,35250636,20,15,0
802,35250637,40,20,5
803,35250638,10,5,5
804,35250639,15,20,10
805,35250640,15,0,0
806,35250641,15,5,0
807,35250642,35,25,10
808,35250643,15,10,5
809,35250644,5,5,0
810,35250645,5,5,5
811,35250646,15,5,5
812,35250647,30,20,0
813,35250648,40,40,20
814,35250649,25,35,15
815,35250650,20,25,10
816,35250651,0,5,5
817,35250652,10,10,0
818,35250655,45,20,5
819,35250656,20,25,10
820,35250657,10,5,5
821,35250658,0,5,0
822,35250659,20,15,10
823,35250661,25,20,5
824,35250662,30,20,10
825,35250663,20,10,5
826,35250664,20,10,0
827,35250665,15,5,5
828,35250666,15,5,0
829,35250667,5,5,0
830,35250668,15,0,0
831,35250669,10,5,5
832,35250670,0,0,0
833,35250671,5,0,0
834,35250672,10,5,0
835,35250675,15,5,0
836,35250676,10,0,5
837,35250677,5,0,5
838,35250678,0,0,5
839,35250679,15,0,0
840,35250680,10,5,0
841,35250681,25,15,5
842,35250692,30,10,5
843,35250693,20,15,5
844,35250694,20,15,5
845,35250695,15,10,10
846,35250696,25,10,5
847,35250700,20,10,5
848,35250701,35,10,10
849,35250702,15,10,10
850,35250703,25,15,5
851,35250704,30,20,10
852,35250705,25,15,5
853,35250706,30,10,5
854,35250707,25,5,5
855,35250708,55,15,10
856,35250709,25,10,10
857,35250710,20,10,5
858,35250711,15,0,0
859,35250712,10,10,5
860,35250713,15,10,5
861,35250714,30,10,5
862,35250715,20,10,0
863,35250716,30,10,5
864,35250717,30,10,5
865,35250718,25,10,0
866,35250719,15,15,0
867,35250720,25,15,5
