,geo_code,1 to 4 rooms,5 rooms,6 rooms,7 rooms,8 or more rooms
566,35250387,0,0,10,20,115
567,35250388,30,15,0,50,110
568,35250389,40,15,25,15,75
569,35250390,120,25,35,20,55
570,35250391,170,50,20,35,25
571,35250392,105,25,15,30,90
572,35250393,200,40,10,25,0
573,35250394,310,55,25,10,10
574,35250395,365,40,15,10,0
575,35250396,290,60,15,0,0
576,35250397,275,55,10,0,0
577,35250398,245,0,0,0,0
578,35250399,695,10,0,0,0
579,35250400,335,90,10,10,0
580,35250401,290,65,25,0,10
581,35250402,130,55,20,20,35
582,35250403,270,35,20,60,30
583,35250404,60,30,30,30,40
584,35250405,70,40,40,40,20
585,35250406,240,50,45,10,30
586,35250407,155,35,30,20,30
587,35250408,115,40,25,35,20
588,35250409,150,10,10,20,40
589,35250410,30,50,45,25,45
590,35250411,35,20,80,45,35
591,35250412,310,10,15,20,30
592,35250413,60,45,55,35,45
593,35250416,50,55,70,30,25
594,35250417,185,35,0,0,20
595,35250418,255,45,0,0,10
596,35250419,265,40,10,0,10
597,35250420,410,85,40,10,10
598,35250421,370,50,10,0,0
599,35250422,540,25,10,0,15
600,35250423,395,25,15,0,0
601,35250424,315,95,15,0,0
602,35250425,395,70,35,20,15
603,35250426,115,50,20,10,65
604,35250427,105,40,10,0,25
605,35250428,240,25,0,0,0
606,35250429,170,15,10,10,10
607,35250430,200,10,20,20,15
608,35250431,290,35,0,10,0
609,35250434,645,70,35,25,0
610,35250435,170,30,20,15,10
611,35250436,240,20,30,15,20
612,35250437,200,30,10,0,35
613,35250438,160,25,20,0,10
614,35250439,220,45,10,0,10
615,35250440,400,15,15,0,10
616,35250441,285,15,25,0,10
617,35250442,125,45,25,50,65
618,35250443,40,25,55,50,30
619,35250444,215,30,20,15,40
620,35250445,10,15,35,30,70
621,35250446,45,35,55,30,75
622,35250447,60,10,15,20,40
623,35250448,240,30,20,15,65
624,35250449,115,35,10,15,35
625,35250450,90,15,30,20,40
626,35250451,90,10,20,0,15
627,35250452,75,20,25,15,20
628,35250453,115,20,25,10,25
629,35250454,255,70,25,10,15
630,35250455,195,25,15,10,25
631,35250456,225,85,25,0,0
632,35250457,x,x,x,x,x
633,35250458,145,70,15,10,0
634,35250459,215,45,35,20,35
635,35250460,30,15,30,20,50
636,35250461,45,45,30,25,25
637,35250462,40,35,30,15,45
638,35250463,125,10,20,20,25
639,35250464,50,45,10,15,25
640,35250465,210,40,10,10,0
641,35250466,45,25,30,15,40
642,35250467,485,20,0,10,0
643,35250468,195,20,0,15,10
644,35250471,35,30,15,25,30
645,35250472,110,35,50,15,20
646,35250473,50,35,10,20,40
647,35250474,145,65,50,15,35
648,35250475,120,20,35,35,25
649,35250476,55,25,10,15,45
650,35250477,90,25,35,40,15
651,35250478,60,25,20,25,40
652,35250479,60,55,30,35,50
653,35250480,75,40,30,35,30
654,35250481,30,20,35,35,25
655,35250482,15,30,40,30,40
656,35250483,15,40,55,15,35
657,35250484,40,30,45,20,20
658,35250485,50,45,40,20,30
659,35250486,135,80,40,10,35
660,35250487,40,30,25,20,40
661,35250488,35,15,35,35,45
662,35250489,15,35,30,40,10
663,35250490,10,20,40,45,45
664,35250491,10,30,30,15,10
665,35250492,30,15,50,20,35
666,35250493,55,35,40,25,10
667,35250494,65,70,40,10,10
668,35250495,45,40,70,30,15
669,35250496,70,30,15,15,25
670,35250497,100,30,45,40,60
671,35250498,75,40,40,40,55
672,35250499,95,20,45,45,40
