geo_code,,median_government_transfers_2015,median_income
35250194,female,5035,35712
35250194,male,5952,44288
35250196,female,5328,36224
35250196,male,2392,45952
35250197,female,4056,30528
35250197,male,5936,36160
35250199,female,5784,31424
35250199,male,874,47053
35250200,female,7376,30016
35250200,male,8048,35968
35250201,female,8288,26880
35250201,male,6112,36992
35250202,female,6880,23872
35250202,male,1668,31712
35250203,female,7888,21120
35250203,male,2692,34406
35250204,female,8768,17376
35250204,male,1573,26624
35250205,female,x,x
35250205,male,x,x
35250206,female,6056,27712
35250206,male,2136,39083
35250207,female,8736,29120
35250207,male,9760,43520
35250208,female,9312,35840
35250208,male,9248,24704
35250209,female,10848,25536
35250209,male,11968,42624
35250210,female,7088,31424
35250210,male,4688,34176
35250211,female,14784,14880
35250211,male,15120,13920
35250212,female,11296,31168
35250212,male,12768,34176
35250213,female,10624,31296
35250213,male,14832,33408
35250216,female,9120,27968
35250216,male,5864,50048
35250217,female,9440,24384
35250217,male,4592,32192
35250218,female,6976,21984
35250218,male,2352,32064
35250221,female,10208,22912
35250221,male,7728,27552
35250222,female,9152,35328
35250222,male,3328,36949
35250223,female,9728,33664
35250223,male,11168,36736
35250224,female,11008,17728
35250224,male,6672,32640
35250225,female,9504,29888
35250225,male,6352,33664
35250226,female,13536,25024
35250226,male,14624,24448
35250227,female,9120,23136
35250227,male,4944,31680
35250230,female,8416,22976
35250230,male,3544,34304
35250231,female,7216,22848
35250231,male,6352,24768
35250232,female,12928,18688
35250232,male,2276,21696
35250233,female,11168,20864
35250233,male,7536,24896
35250234,female,5808,21632
35250234,male,2728,28736
35250238,female,11232,20448
35250238,male,1606,24320
35250239,female,10528,18624
35250239,male,4304,30528
35250240,female,9520,18368
35250240,male,2616,23744
35250241,female,8224,18496
35250241,male,1244,37760
35250242,female,x,x
35250242,male,x,x
35250243,female,9888,25536
35250243,male,4992,31424
35250248,female,6192,27584
35250248,male,7408,38592
35250249,female,12608,21824
35250249,male,13024,28480
35250250,female,6192,38336
35250250,male,5728,39808
35250251,female,7120,22784
35250251,male,1660,38528
35250254,female,7760,33408
35250254,male,7520,38016
35250255,female,10400,30048
35250255,male,10731,37440
35250256,female,11424,28864
35250256,male,11344,43008
35250257,female,13472,24416
35250257,male,11232,31808
35250258,female,13776,27776
35250258,male,13856,31040
35250259,female,8336,29504
35250259,male,8416,39552
35250260,female,14048,25472
35250260,male,14016,20992
35250261,female,11808,21696
35250261,male,8112,27264
35250262,female,10880,25120
35250262,male,13280,31392
35250263,female,6608,33493
35250263,male,4848,34176
35250264,female,6656,31168
35250264,male,9952,30912
35250265,female,6736,32384
35250265,male,8480,38272
35250266,female,8992,28480
35250266,male,11915,29440
35250267,female,6128,29184
35250267,male,8096,34176
35250269,female,8544,43136
35250269,male,6944,47232
35250270,female,7696,36480
35250270,male,12000,29504
35250271,female,9568,29888
35250271,male,8544,28928
35250272,female,14368,27328
35250272,male,12768,34176
35250273,female,7664,27712
35250273,male,10880,19776
35250274,female,5616,29216
35250274,male,2276,33152
35250275,female,7488,30784
35250275,male,2744,34176
35250276,female,7008,28864
35250276,male,1640,35789
35250277,female,7056,27648
35250277,male,2888,36480
35250278,female,6136,30656
35250278,male,2216,42539
35250279,female,8864,26432
35250279,male,8352,34432
35250280,female,6112,27328
35250280,male,3384,30912
35250281,female,6736,21728
35250281,male,2824,36864
35250282,female,7280,28608
35250282,male,2216,45440
35250283,female,7256,27456
35250283,male,5680,27712
35250284,female,9952,26880
35250284,male,6544,26432
35250285,female,7504,32896
35250285,male,7504,39296
35250286,female,8768,29760
35250286,male,13728,19392
35250287,female,5144,38272
35250287,male,8459,48448
35250288,female,7408,28096
35250288,male,11296,37248
35250289,female,6808,28864
35250289,male,6576,40320
35250290,female,6032,25024
35250290,male,4576,38592
35250291,female,3160,28512
35250291,male,919,34688
35250293,female,8928,30144
35250293,male,5440,40704
35250294,female,3896,30912
35250294,male,1508,46656
35250295,female,4432,29504
35250295,male,3384,50304
35250296,female,7099,37248
35250296,male,12896,44928
35250297,female,6920,26368
35250297,male,10400,36480
35250298,female,4528,36864
35250298,male,2648,45952
35250299,female,6816,24992
35250299,male,7808,34688
35250300,female,6176,36032
35250300,male,8832,54400
35250302,female,9344,39296
35250302,male,11552,33408
35250303,female,10208,25664
35250303,male,14000,19904
35250304,female,8816,32320
35250304,male,5784,42816
35250305,female,6736,26560
35250305,male,6056,37248
35250306,female,6384,31040
35250306,male,7904,41088
35250307,female,7488,27904
35250307,male,3736,35968
35250308,female,4464,33920
35250308,male,1174,44608
35250309,female,2264,27968
35250309,male,1420,40832
35250310,female,3416,37504
35250310,male,2028,48384
35250311,female,5664,28373
35250311,male,2584,48640
35250312,female,6096,28608
35250312,male,5328,43008
35250313,female,7144,29952
35250313,male,8272,39808
35250315,female,13877,31168
35250315,male,15066,17600
35250316,female,6320,40533
35250316,male,2616,48000
35250317,female,3848,33664
35250317,male,1584,47936
35250318,female,x,x
35250318,male,x,x
35250319,female,6448,19008
35250319,male,942,34688
35250320,female,8416,28160
35250320,male,7632,30656
35250321,female,9344,24512
35250321,male,4464,37376
35250322,female,6608,28736
35250322,male,7216,36864
