,geo_code,Income (M),Government Transfer (M)
719,35250550,40768,6656
720,35250551,38016,2952
721,35250552,23232,2056
722,35250553,41600,3364
723,35250554,41472,2424
724,35250555,48256,4896
725,35250556,48768,5936
726,35250557,27840,4496
727,35250558,42283,1556
728,35250559,42624,2968
729,35250560,29504,11360
730,35250561,44672,3264
731,35250562,31424,3064
732,35250563,37888,1624
733,35250564,49280,5280
734,35250565,44928,6224
735,35250566,46464,5424
736,35250567,29440,8416
737,35250568,36160,2088
738,35250569,22272,12480
739,35250570,27008,8544
740,35250571,3720,14816
741,35250572,30400,3688
742,35250573,45952,2360
743,35250574,39296,2536
744,35250578,46208,1844
745,35250579,37568,760
746,35250580,23616,3768
747,35250581,41344,1358
748,35250582,37760,1730
749,35250583,52096,616
750,35250585,35392,2776
751,35250586,44544,1412
752,35250587,41472,3640
753,35250588,36736,6432
754,35250589,46720,1596
755,35250590,48512,2268
756,35250591,40320,946
757,35250592,39936,3864
758,35250593,35200,1588
759,35250594,32704,8080
760,35250595,32768,7120
761,35250596,33664,3216
762,35250597,33152,7152
763,35250598,39040,2824
764,35250599,20416,14064
765,35250600,29248,2424
766,35250601,34432,13408
767,35250602,27968,13296
768,35250603,35200,6096
769,35250604,31936,8320
770,35250605,21568,6384
771,35250606,30592,10464
772,35250607,37248,7664
773,35250608,21184,1364
774,35250609,40320,1364
775,35250610,32192,2808
776,35250611,25280,5952
777,35250612,37120,1340
778,35250613,31552,1716
779,35250614,36736,4088
780,35250615,37504,8405
781,35250616,43392,1364
782,35250617,28352,2760
783,35250618,41088,2152
784,35250619,40192,1600
785,35250620,44672,1500
786,35250621,41600,4720
787,35250622,33024,1812
788,35250623,35840,6400
789,35250624,36864,12208
790,35250625,35456,7824
791,35250626,34944,7704
792,35250627,41344,1980
793,35250628,29120,14592
794,35250629,30272,8288
795,35250630,36224,4688
796,35250631,33664,7920
797,35250632,31968,2294
798,35250633,0,0
799,35250634,24896,4432
800,35250635,32576,8416
801,35250636,41344,1116
802,35250637,43456,6304
803,35250638,34688,3400
804,35250639,45952,1616
805,35250640,40192,2472
806,35250641,46720,2216
807,35250642,28416,1564
808,35250643,35456,631
809,35250644,49536,1644
810,35250645,27744,2824
811,35250646,41664,994
812,35250647,43104,710
813,35250648,39552,700
814,35250649,39808,1580
815,35250650,38272,1384
816,35250651,37696,650
817,35250652,40832,1116
818,35250655,45568,862
819,35250656,33152,1852
820,35250657,36352,1632
821,35250658,43648,5072
822,35250659,35456,2216
823,35250661,46677,924
824,35250662,50080,689
825,35250663,35200,1572
826,35250664,45952,6352
827,35250665,41216,3672
828,35250666,45013,6112
829,35250667,0,0
830,35250668,17312,600
831,35250669,11034,559
832,35250670,17792,574
833,35250671,13344,618
834,35250672,13088,560
835,35250675,13472,558
836,35250676,26176,559
837,35250677,78464,558
838,35250678,95488,559
839,35250679,14688,558
840,35250680,9824,559
841,35250681,26667,632
842,35250692,31488,2856
843,35250693,25216,6064
844,35250694,23136,7376
845,35250695,18624,2584
846,35250696,30352,5592
847,35250700,34944,4192
848,35250701,30720,2264
849,35250702,36800,2256
850,35250703,31136,8176
851,35250704,30656,3368
852,35250705,31808,1580
853,35250706,34880,1796
854,35250707,33536,6128
855,35250708,30400,5568
856,35250709,30464,1572
857,35250710,43840,3112
858,35250711,36480,2416
859,35250712,29120,2896
860,35250713,38208,2432
861,35250714,35456,3608
862,35250715,32640,2464
863,35250716,31360,1868
864,35250717,36352,6224
865,35250718,27456,4608
866,35250719,34240,8176
867,35250720,30677,1692
868,35250721,25152,1820
869,35250724,36523,1792
870,35250725,32384,2356
871,35250726,39936,5008
872,35250727,33088,8112
873,35250728,36224,1571
874,35250729,29952,3112
875,35250730,30912,9888
876,35250731,36992,6496
877,35250732,44800,4736
878,35250733,49280,3464
879,35250734,36992,4400
880,35250735,43179,2936
881,35250736,40064,5237
882,35250737,45184,3576
883,35250738,44928,3128
884,35250739,38656,2536
885,35250740,39296,2408
886,35250741,47232,4240
887,35250742,45952,2328
888,35250743,41344,2312
889,35250744,37696,6576
890,35250745,37248,9888
891,35250746,38656,2968
892,35250747,32960,3504
893,35250748,36736,4152
894,35250749,38016,5424
895,35250750,38656,3168
896,35250753,40384,2944
897,35250754,39552,6832
898,35250755,41280,5280
899,35250756,38272,1740
900,35250757,33152,7568
901,35250758,31104,8168
902,35250759,36992,6720
903,35250760,36480,6864
904,35250761,40192,5696
905,35250762,27968,6528
906,35250763,38528,6800
907,35250764,38272,4192
908,35250765,35968,6912
909,35250766,42624,2576
910,35250767,33408,5104
911,35250768,32320,5680
912,35250769,34645,7760
913,35250770,33408,3336
914,35250771,32512,4920
915,35250772,30784,4464
916,35250773,33440,5488
917,35250774,30912,5392
918,35250775,23232,6912
919,35250776,30592,7792
920,35250777,38784,5040
921,35250778,45184,8080
922,35250779,34368,5184
923,35250780,45312,3208
924,35250781,38400,5848
925,35250782,31851,5392
926,35250783,39296,8368
927,35250784,39424,2632
928,35250785,41899,2784
929,35250786,34688,4208
930,35250787,43392,3704
931,35250788,30464,6688
932,35250789,37504,8224
933,35250790,53568,3560
934,35250791,37504,3304
935,35250792,39808,1300
936,35250793,45056,3568
937,35250798,25408,3616
938,35250799,33152,6360
939,35250800,26688,2408
940,35250801,31328,8416
941,35250802,39808,966
942,35250803,41344,9280
943,35250804,50048,1774
944,35250805,48064,1220
945,35250806,34176,4240
946,35250807,48640,1208
947,35250810,57472,4144
948,35250812,42752,4336
949,35250813,45440,1476
950,35250814,39296,7440
951,35250815,43392,8768
952,35250826,62208,1604
953,35250827,32896,5872
954,35250828,48640,1488
955,35250829,46592,7984
956,35250830,22848,6032
957,35250831,18208,13568
958,35250832,42368,15136
959,35250833,45952,3320
960,35250834,44032,1516
961,35250835,52608,1516
962,35250836,46208,3464
963,35250843,34304,1572
964,35250845,27328,7248
965,35250846,26048,14848
966,35250847,19840,1392
967,35250848,38784,573
968,35250849,47317,1304
969,35250850,35392,5616
970,35250851,25408,3888
971,35250852,32000,3860
972,35250853,22592,2408
973,35250854,21664,574
974,35250855,21504,559
975,35250857,38272,4448
976,35250859,45440,3256
977,35250860,44928,834
978,35250861,44672,666
979,35250862,41536,8224
980,35250863,53888,1644
981,35250864,42880,808
982,35250865,53632,3528
983,35250866,44288,778
984,35250867,52224,1508
985,35250868,60288,998
986,35250869,85504,1828
987,35250870,63616,650
988,35250871,60608,1996
989,35250872,49664,820
990,35250873,49152,1260
991,35250874,41216,1644
992,35250875,41088,1240
993,35250876,44032,2056
994,35250877,56192,4112
995,35250878,48000,6992
996,35250879,49824,1544
997,35250880,36736,6360
998,35250881,36224,6992
999,35250882,68693,626
1000,35250883,56448,415
1001,35250884,70912,436
1002,35250885,69376,610
1003,35250886,52864,586
1004,35250887,64064,577
1005,35250888,56832,894
1006,35250889,64512,626
1007,35250890,60480,578
