geo_code,,"under $10,000 (including loss)","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $149,999","$150,000 and over"
35240478,male,15,15,5,15,10,10,5,5,5,10,15,5
35240479,female,20,60,45,10,5,10,5,10,5,10,0,0
35240479,male,15,30,15,10,10,5,5,5,5,5,15,5
35240480,female,60,85,90,50,40,25,15,10,0,15,0,0
35240480,male,40,60,40,30,25,25,20,10,10,10,20,15
35240481,female,30,35,35,15,20,20,15,5,5,5,10,5
35240481,male,15,15,10,20,25,20,10,15,10,10,25,15
35240482,female,35,60,45,35,50,30,20,15,20,5,5,0
35240482,male,40,25,35,35,20,20,20,20,15,15,20,10
35240483,female,20,35,30,25,25,20,20,20,10,5,10,5
35240483,male,20,20,20,20,15,20,20,15,15,10,20,5
35240484,female,80,65,45,40,55,55,50,25,25,15,15,5
35240484,male,45,35,35,50,40,50,30,45,20,35,55,30
35240485,female,25,20,20,5,15,15,20,10,10,5,15,0
35240485,male,10,25,15,15,10,10,15,10,10,5,20,5
35240486,female,40,40,35,15,30,25,15,10,10,10,20,10
35240486,male,35,25,15,20,20,20,10,20,20,15,35,20
35240487,female,15,15,25,15,15,5,10,5,5,5,0,0
35240487,male,10,15,10,10,10,10,5,10,5,0,15,10
35240488,female,55,50,60,65,65,50,35,35,25,10,20,5
35240488,male,50,55,30,40,30,50,45,40,40,20,55,10
35240489,female,30,30,30,25,20,15,5,15,10,5,10,5
35240489,male,15,25,10,10,20,15,10,10,5,10,30,5
35240490,female,15,20,25,10,10,5,5,5,10,5,5,5
35240490,male,20,15,5,10,10,10,10,10,5,5,5,0
35240491,female,35,35,35,20,15,20,15,15,10,10,15,5
35240491,male,20,20,15,15,10,20,20,15,20,15,40,15
35240492,female,35,50,45,25,30,25,15,10,0,5,5,0
35240492,male,25,15,25,20,25,30,15,15,20,10,20,0
35240493,female,25,70,95,70,50,35,25,15,10,10,10,5
35240493,male,15,30,45,45,60,25,30,15,10,10,10,5
35240494,female,25,35,30,25,20,20,10,15,5,10,5,0
35240494,male,15,20,20,20,10,15,10,20,10,10,30,5
35240495,female,50,75,65,25,25,10,10,5,5,0,10,0
35240495,male,40,45,35,20,20,10,10,10,15,10,15,0
35240496,female,25,30,25,25,10,10,10,15,5,10,10,5
35240496,male,25,25,20,15,10,10,10,15,10,10,25,15
35240497,female,35,35,20,20,15,10,20,10,10,10,5,0
35240497,male,20,30,20,10,15,10,10,10,10,5,30,20
35240498,female,20,20,25,20,25,10,15,10,5,15,5,0
35240498,male,15,15,15,15,5,15,5,15,10,15,20,5
