geo_code,,"Car, truck, van - as a driver","Car, truck, van - as a passenger",Public transit,Walked,Bicyle,Other
35240644,male,90,0,10,0,0,0
35240645,female,55,0,0,0,0,0
35240645,male,100,0,0,0,0,0
35240647,female,135,0,10,0,0,0
35240647,male,125,0,0,0,0,0
35240648,female,190,15,30,10,0,10
35240648,male,140,0,15,0,0,0
35240649,female,150,35,15,10,0,10
35240649,male,145,10,10,10,0,10
35240650,female,150,20,10,0,0,0
35240650,male,185,10,0,0,0,0
35240651,female,110,10,10,0,0,0
35240651,male,100,10,15,0,0,0
35240654,female,105,15,15,10,0,0
35240654,male,140,10,0,10,0,0
35240655,female,170,10,25,0,0,10
35240655,male,200,0,15,0,0,0
35240656,female,60,0,10,0,0,0
35240656,male,75,0,15,0,0,0
35240659,female,165,15,40,15,0,10
35240659,male,145,10,30,0,0,10
35240660,female,120,10,15,10,10,0
35240660,male,80,10,15,0,0,0
35240661,female,100,0,15,0,0,0
35240661,male,140,10,15,0,0,0
35240662,female,340,25,50,15,0,0
35240662,male,360,15,20,0,0,0
35240663,female,140,10,10,10,0,0
35240663,male,120,0,10,0,0,0
35240664,female,85,10,0,0,0,0
35240664,male,110,10,0,0,0,0
35240665,female,75,0,20,10,0,15
35240665,male,75,0,10,0,0,10
35240666,female,205,15,30,0,0,0
35240666,male,195,10,0,10,0,0
35240667,female,145,20,15,10,0,0
35240667,male,145,0,10,0,0,0
35240668,female,110,10,20,10,0,0
35240668,male,100,15,35,0,0,0
35240669,female,225,10,30,0,0,10
35240669,male,265,0,25,0,0,0
35240670,female,130,0,20,0,0,0
35240670,male,145,0,20,0,0,0
35240671,female,130,10,15,0,0,0
35240671,male,120,20,15,0,0,0
35240672,female,180,20,25,20,0,0
35240672,male,215,10,0,0,0,10
35240673,female,85,0,15,0,0,0
35240673,male,90,10,0,0,0,0
35240674,female,145,0,25,0,0,0
35240674,male,180,0,15,10,10,0
35240675,female,225,30,35,10,0,0
35240675,male,250,10,45,0,0,0
35240676,female,195,25,30,0,0,0
35240676,male,200,25,25,0,0,0
35240677,female,85,10,15,0,0,0
35240677,male,105,10,10,0,0,10
35240678,female,270,25,45,20,0,0
35240678,male,295,10,40,10,10,0
35240679,female,145,0,15,0,0,10
35240679,male,155,10,15,10,10,0
35240680,female,280,20,25,10,0,0
35240680,male,330,10,10,15,0,10
35240681,female,115,0,10,10,0,0
35240681,male,90,0,25,0,0,0
35240682,female,165,10,25,0,0,10
35240682,male,160,10,30,0,0,0
35240683,female,175,10,0,0,0,0
35240683,male,135,15,15,10,10,0
35240684,female,190,15,10,0,0,0
35240684,male,140,10,10,0,0,0
