geo_code,,0 to 17 years (%),0 to 5 years (%),18 to 64 years (%),65 years and over (%)
35250031,female,0.0,0.0,4.0,0.0
35250031,male,0.0,0.0,4.0,0.0
35250032,female,0.0,0.0,5.3,0.0
35250032,male,7.7,33.3,2.4,0.0
35250033,female,8.3,0.0,5.4,0.0
35250033,male,7.7,0.0,5.6,0.0
35250034,female,8.3,0.0,10.4,0.0
35250034,male,15.4,0.0,7.0,11.1
35250035,female,14.3,0.0,13.0,0.0
35250035,male,14.3,0.0,7.4,0.0
35250036,female,6.7,16.7,10.3,0.0
35250036,male,6.3,0.0,5.7,11.1
35250037,female,22.2,0.0,8.8,9.1
35250037,male,16.7,0.0,9.4,0.0
35250038,female,0.0,0.0,14.7,10.3
35250038,male,0.0,0.0,16.7,6.3
35250039,female,0.0,50.0,17.9,12.0
35250039,male,25.0,...,13.0,8.3
35250040,female,62.5,33.3,36.4,8.3
35250040,male,53.8,40.0,30.4,0.0
35250041,female,25.0,50.0,20.0,7.1
35250041,male,0.0,0.0,16.7,11.1
35250042,female,x,x,x,x
35250042,male,x,x,x,x
35250043,female,11.1,0.0,5.9,5.3
35250043,male,0.0,0.0,6.5,0.0
35250044,female,12.5,0.0,4.0,0.0
35250044,male,0.0,0.0,4.0,0.0
35250045,female,16.7,50.0,28.6,42.9
35250045,male,40.0,50.0,25.8,14.3
35250046,female,0.0,0.0,12.5,9.1
35250046,male,0.0,0.0,6.9,0.0
35250047,female,10.0,0.0,3.3,9.1
35250047,male,0.0,0.0,3.6,0.0
35250048,female,0.0,0.0,5.9,0.0
35250048,male,0.0,...,0.0,0.0
35250049,female,12.5,0.0,8.7,0.0
35250049,male,0.0,0.0,0.0,0.0
35250050,female,0.0,0.0,3.8,0.0
35250050,male,0.0,0.0,4.5,0.0
35250051,female,5.0,0.0,1.4,2.5
35250051,male,3.8,0.0,1.4,3.1
35250052,female,12.5,0.0,5.6,0.0
35250052,male,14.3,0.0,5.0,0.0
35250053,female,0.0,0.0,2.9,0.0
35250053,male,9.1,0.0,0.0,0.0
35250054,female,0.0,0.0,4.2,0.0
35250054,male,14.3,0.0,0.0,0.0
35250055,female,6.7,0.0,8.2,5.9
35250055,male,13.3,25.0,7.9,0.0
35250056,female,x,x,x,x
35250056,male,x,x,x,x
35250059,female,4.8,0.0,3.0,4.0
35250059,male,5.6,16.7,3.4,5.0
35250060,female,9.1,100.0,5.0,0.0
35250060,male,14.3,16.7,5.6,0.0
35250061,female,0.0,0.0,0.0,12.5
35250061,male,10.0,0.0,8.7,0.0
35250062,female,0.0,0.0,0.0,0.0
35250062,male,0.0,0.0,2.9,0.0
35250064,female,7.1,0.0,4.2,0.0
35250064,male,10.0,0.0,4.4,0.0
35250065,female,10.0,0.0,2.8,0.0
35250065,male,9.1,0.0,5.9,0.0
35250066,female,0.0,0.0,4.5,0.0
35250066,male,0.0,0.0,0.0,0.0
35250067,female,6.3,20.0,2.4,0.0
35250067,male,0.0,0.0,3.0,0.0
35250070,female,0.0,0.0,10.7,0.0
35250070,male,11.1,0.0,6.9,0.0
35250073,female,11.1,0.0,6.5,0.0
35250073,male,0.0,0.0,3.7,0.0
35250074,female,25.0,0.0,5.0,0.0
35250074,male,20.0,0.0,5.0,0.0
35250075,female,14.3,0.0,3.7,0.0
35250075,male,14.3,0.0,0.0,12.5
35250077,female,36.4,33.3,15.8,7.7
35250077,male,38.5,33.3,13.8,0.0
35250078,female,0.0,0.0,3.6,0.0
35250078,male,0.0,0.0,8.0,12.5
35250079,female,0.0,0.0,5.9,0.0
35250079,male,0.0,0.0,0.0,0.0
35250080,female,40.0,25.0,27.5,10.0
35250080,male,45.5,28.6,16.1,0.0
35250081,female,39.3,25.0,11.9,6.7
35250081,male,31.0,25.0,6.7,0.0
35250082,female,x,x,x,x
35250082,male,x,x,x,x
35250083,female,62.1,50.0,37.7,12.5
35250083,male,54.5,40.0,27.5,14.3
35250084,female,0.0,0.0,9.1,0.0
35250084,male,11.1,0.0,5.0,0.0
35250085,female,25.0,0.0,15.0,14.3
35250085,male,33.3,50.0,11.1,0.0
35250086,female,9.1,0.0,9.4,0.0
35250086,male,27.3,0.0,8.3,16.7
35250087,female,12.5,0.0,6.1,0.0
35250087,male,22.2,33.3,9.7,0.0
