,geo_code,married,common_law,not_married_or_common_law,never_married,separated,divorced,widowed
646,35250473,160,20,225,120,50,40,15
647,35250474,160,80,335,220,25,60,30
648,35250475,105,55,225,130,30,45,25
649,35250476,135,45,235,135,20,55,35
650,35250477,140,50,240,160,15,40,25
651,35250478,125,35,150,90,5,30,20
652,35250479,170,80,250,170,20,35,20
653,35250480,120,55,255,170,25,35,20
654,35250481,120,35,170,130,5,25,10
655,35250482,115,70,200,140,15,30,15
656,35250483,105,65,195,130,25,30,15
657,35250484,85,80,165,110,10,30,15
658,35250485,160,80,195,130,15,30,25
659,35250486,160,85,315,210,25,60,25
660,35250487,130,35,150,100,10,20,20
661,35250488,140,70,170,120,5,25,20
662,35250489,130,40,140,90,10,10,25
663,35250490,165,15,170,110,15,30,10
664,35250491,65,10,150,115,10,15,10
665,35250492,110,30,155,105,10,25,15
666,35250493,110,65,160,105,15,30,15
667,35250494,80,45,190,120,10,40,20
668,35250495,120,45,190,130,15,30,20
669,35250496,65,20,130,75,10,35,15
670,35250497,180,55,355,230,30,65,35
671,35250498,125,65,285,215,10,40,25
672,35250499,140,70,240,150,20,45,25
673,35250501,255,45,150,105,15,15,20
674,35250502,215,35,170,130,10,20,15
675,35250503,130,35,265,205,15,35,15
676,35250504,150,45,340,290,15,25,15
677,35250506,180,60,160,110,10,25,15
678,35250507,160,45,280,145,15,35,85
679,35250508,235,25,135,95,10,20,10
680,35250509,235,60,200,155,10,15,20
681,35250510,235,30,165,120,10,20,15
682,35250511,260,70,285,205,15,45,20
683,35250512,130,55,175,100,20,40,20
684,35250513,160,60,215,145,15,45,15
685,35250514,425,45,245,170,20,30,30
686,35250515,215,10,115,75,5,10,30
687,35250516,380,30,280,195,20,20,45
688,35250517,145,30,130,85,10,15,20
689,35250518,160,15,95,60,5,5,25
690,35250519,290,30,245,165,20,20,35
691,35250520,245,60,280,185,15,40,45
692,35250521,225,30,185,125,5,20,30
693,35250522,125,15,70,50,5,5,10
694,35250523,245,25,165,110,10,20,30
695,35250524,105,35,140,110,10,15,10
696,35250525,155,40,130,80,5,15,30
697,35250526,325,70,610,370,55,110,75
698,35250527,195,35,155,90,5,20,40
699,35250528,180,40,140,70,5,15,45
700,35250529,160,30,160,95,10,20,30
701,35250530,150,35,190,135,10,25,25
702,35250531,180,25,180,120,10,20,30
703,35250532,195,25,145,90,5,15,30
704,35250533,265,65,360,190,30,75,65
705,35250534,160,30,235,130,10,40,50
706,35250535,240,20,240,155,20,35,30
707,35250536,145,35,205,110,25,40,35
708,35250537,225,45,275,180,25,35,35
709,35250538,240,30,245,145,15,30,50
710,35250539,235,55,285,195,15,25,45
711,35250540,265,50,200,115,15,20,45
712,35250541,190,40,235,155,10,25,40
713,35250542,170,35,215,120,15,30,50
714,35250545,170,25,170,100,15,25,35
715,35250546,65,40,265,140,45,55,30
716,35250547,155,15,180,120,15,20,25
717,35250548,230,45,305,185,30,40,50
