,geo_code,1960 or before,1961 to 1980,1981 to 1990,1991 to 2000,2001 to 2005,2006 to 2010,2011 to 2016
321,35250096,0,170,25,0,0,0,0
322,35250097,0,10,115,0,0,0,0
323,35250098,0,0,65,0,0,0,0
324,35250099,15,20,160,85,10,0,0
325,35250100,15,150,10,10,0,0,0
326,35250101,15,140,0,0,0,0,0
327,35250102,20,90,0,0,0,0,0
328,35250105,135,90,10,10,0,0,0
329,35250106,160,25,0,0,0,0,0
330,35250107,125,70,0,0,0,0,0
331,35250108,150,55,0,0,0,0,0
332,35250109,160,95,0,10,10,0,0
333,35250110,90,120,0,0,0,0,0
334,35250111,70,130,10,30,65,25,0
335,35250112,30,125,15,0,0,0,0
336,35250113,0,105,10,0,0,0,0
337,35250114,10,120,0,0,0,0,0
338,35250115,60,325,95,65,20,0,0
339,35250116,0,150,35,15,0,40,0
340,35250117,0,80,0,0,0,0,0
341,35250118,15,80,0,25,0,0,0
342,35250119,0,160,0,0,0,0,0
343,35250120,10,120,10,10,0,0,0
344,35250121,10,150,25,0,0,0,0
345,35250122,10,100,15,0,0,0,0
346,35250123,0,10,95,0,10,10,0
347,35250124,10,120,35,10,0,10,0
348,35250125,0,105,10,0,0,0,0
349,35250126,0,75,110,10,0,0,30
350,35250127,10,20,105,65,110,115,70
351,35250128,0,0,45,60,10,0,15
352,35250129,0,35,60,20,0,0,0
353,35250130,0,40,60,10,0,0,0
354,35250133,20,80,115,15,0,0,0
355,35250134,20,25,40,110,50,0,0
356,35250135,35,45,15,50,65,65,270
357,35250136,40,50,10,25,0,0,0
358,35250137,80,30,0,0,0,10,0
359,35250144,25,60,35,55,0,130,210
360,35250145,25,75,10,20,10,0,0
361,35250146,150,30,70,20,0,10,15
362,35250147,120,25,0,0,0,0,10
363,35250148,65,45,50,15,0,0,0
364,35250149,35,25,110,10,0,0,0
365,35250150,105,35,55,15,0,0,10
366,35250151,0,70,80,10,0,0,0
367,35250152,125,85,135,60,10,75,60
368,35250153,10,0,120,75,10,0,0
369,35250156,50,15,30,30,0,0,0
370,35250158,75,0,50,0,0,10,15
371,35250159,10,55,65,0,0,10,10
372,35250160,25,10,80,10,0,0,0
