,geo_code,owner,renter,band housing
681,35250510,145,60,0
682,35250511,170,145,0
683,35250512,150,80,0
684,35250513,175,85,0
685,35250514,330,40,0
686,35250515,125,20,0
687,35250516,270,15,0
688,35250517,110,30,0
689,35250518,125,0,0
690,35250519,215,30,0
691,35250520,210,50,0
692,35250521,180,30,0
693,35250522,85,10,0
694,35250523,160,15,0
695,35250524,65,75,0
696,35250525,120,35,0
697,35250526,175,365,0
698,35250527,160,10,0
699,35250528,170,10,0
700,35250529,110,60,0
701,35250530,110,70,0
702,35250531,170,0,0
703,35250532,145,10,0
704,35250533,35,345,0
705,35250534,115,120,0
706,35250535,140,50,0
707,35250536,120,95,0
708,35250537,160,120,0
709,35250538,210,20,0
710,35250539,225,25,0
711,35250540,230,20,0
712,35250541,170,25,0
713,35250542,155,70,0
714,35250545,110,30,0
715,35250546,15,240,0
716,35250547,150,20,0
717,35250548,65,235,0
718,35250549,115,110,0
719,35250550,155,30,0
720,35250551,150,50,0
721,35250552,105,45,0
722,35250553,130,70,0
723,35250554,170,25,0
724,35250555,165,0,0
725,35250556,175,45,0
726,35250557,110,175,0
727,35250558,165,20,0
728,35250559,195,0,0
729,35250560,110,230,0
730,35250561,170,0,0
731,35250562,145,65,0
732,35250563,85,180,0
733,35250564,215,15,0
734,35250565,255,20,0
735,35250566,145,20,0
736,35250567,120,130,0
737,35250568,140,185,0
738,35250569,165,10,0
739,35250570,175,10,0
740,35250571,35,235,0
741,35250572,175,40,0
742,35250573,345,45,0
743,35250574,130,10,0
744,35250578,130,100,0
745,35250579,135,10,0
746,35250580,30,70,0
747,35250581,235,30,0
748,35250582,165,70,0
749,35250583,170,20,0
750,35250585,135,45,0
751,35250586,395,25,0
752,35250587,100,10,0
753,35250588,140,0,0
754,35250589,210,15,0
755,35250590,145,0,0
756,35250591,215,0,0
757,35250592,165,30,0
758,35250593,70,60,0
759,35250594,180,10,0
760,35250595,130,25,0
761,35250596,200,10,0
762,35250597,115,25,0
763,35250598,145,15,0
764,35250599,45,245,0
765,35250600,95,55,0
766,35250601,105,290,0
767,35250602,55,210,0
768,35250603,220,30,0
769,35250604,190,30,0
770,35250605,100,55,0
771,35250606,190,20,0
772,35250607,155,25,0
773,35250608,15,120,0
774,35250609,165,15,0
775,35250610,165,10,0
776,35250611,115,45,0
777,35250612,100,130,0
778,35250613,200,180,0
779,35250614,100,0,0
780,35250615,130,10,0
781,35250616,65,15,0
782,35250617,90,90,0
783,35250618,85,0,0
784,35250619,150,20,0
785,35250620,115,10,0
786,35250621,195,100,0
787,35250622,50,105,0
788,35250623,115,25,0
789,35250624,140,105,0
790,35250625,115,45,0
791,35250626,190,25,0
792,35250627,160,15,0
793,35250628,85,165,0
794,35250629,180,245,0
795,35250630,145,10,0
796,35250631,165,20,0
797,35250632,40,270,0
798,35250633,90,0,0
799,35250634,135,140,0
800,35250635,80,55,0
801,35250636,305,10,0
802,35250637,340,120,0
803,35250638,75,20,0
804,35250639,140,60,0
805,35250640,110,80,0
806,35250641,140,10,0
807,35250642,100,85,0
808,35250643,150,0,0
809,35250644,95,0,0
810,35250645,190,0,0
811,35250646,225,30,0
812,35250647,260,25,0
813,35250648,195,115,0
814,35250649,140,70,0
815,35250650,110,60,0
816,35250651,100,0,0
817,35250652,200,0,0
818,35250655,505,20,0
819,35250656,115,60,0
820,35250657,200,15,0
821,35250658,100,0,0
822,35250659,120,70,0
823,35250661,365,40,0
824,35250662,515,30,0
825,35250663,200,35,0
826,35250664,160,10,0
827,35250665,170,0,0
828,35250666,170,0,0
829,35250667,65,30,0
830,35250668,75,105,0
831,35250669,70,60,0
832,35250670,80,25,0
833,35250671,110,30,0
834,35250672,80,80,0
835,35250675,90,105,0
836,35250676,90,50,0
837,35250677,160,10,0
838,35250678,165,10,0
839,35250679,115,100,0
840,35250680,95,85,0
841,35250681,240,65,0
842,35250692,135,40,0
843,35250693,85,75,0
844,35250694,80,85,0
845,35250695,40,110,0
846,35250696,65,85,0
847,35250700,80,120,0
848,35250701,170,25,0
849,35250702,145,55,0
850,35250703,125,80,0
851,35250704,145,95,0
852,35250705,160,50,0
853,35250706,145,55,0
854,35250707,115,50,0
855,35250708,195,95,0
856,35250709,145,55,0
857,35250710,125,70,0
858,35250711,105,50,0
859,35250712,130,35,0
860,35250713,85,65,0
861,35250714,110,100,0
862,35250715,95,120,0
863,35250716,110,150,0
864,35250717,120,125,0
865,35250718,80,120,0
866,35250719,75,120,0
867,35250720,130,135,0
868,35250721,90,135,0
869,35250724,120,95,0
870,35250725,120,40,0
871,35250726,135,120,0
872,35250727,70,30,0
873,35250728,140,65,0
874,35250729,95,125,0
875,35250730,85,280,0
876,35250731,55,255,0
877,35250732,140,20,0
