,geo_code,median total income of lone-parent economic families in 2015 ($),average family size of lone-parent economic families
677,35250506,68608,2.6
678,35250507,62848,2.4
679,35250508,0,2.7
680,35250509,0,2.2
681,35250510,0,2.7
682,35250511,63104,2.5
683,35250512,0,3.0
684,35250513,46336,2.3
685,35250514,73984,2.7
686,35250515,0,2.0
687,35250516,71168,2.8
688,35250517,0,2.2
689,35250518,0,3.0
690,35250519,97024,2.4
691,35250520,69376,2.5
692,35250521,86272,2.6
693,35250522,x,3.0
694,35250523,0,2.8
695,35250524,31936,2.7
696,35250525,0,3.0
697,35250526,32704,3.0
698,35250527,47232,2.4
699,35250528,0,2.5
700,35250529,33280,3.0
701,35250530,57088,2.9
702,35250531,74752,2.6
703,35250532,0,2.2
704,35250533,46976,2.3
705,35250534,54144,2.2
706,35250535,38528,3.1
707,35250536,59136,2.3
708,35250537,53888,2.4
709,35250538,66304,2.2
710,35250539,55936,2.6
711,35250540,57280,2.5
712,35250541,58496,2.5
713,35250542,59008,2.8
714,35250545,88576,2.8
715,35250546,36992,2.1
716,35250547,51840,2.3
717,35250548,51840,3.0
718,35250549,53760,2.4
719,35250550,52416,2.8
720,35250551,61568,2.8
721,35250552,41344,3.1
722,35250553,51328,3.5
723,35250554,50176,3.0
724,35250555,60288,3.0
725,35250556,61312,3.0
726,35250557,35968,3.0
727,35250558,67840,2.4
728,35250559,69632,2.5
729,35250560,57344,2.8
730,35250561,0,2.2
731,35250562,50176,2.6
732,35250563,38912,2.3
733,35250564,64384,2.2
734,35250565,62592,2.3
735,35250566,0,2.5
736,35250567,50048,2.1
737,35250568,46208,2.3
738,35250569,0,2.0
739,35250570,70912,2.8
740,35250571,0,2.7
741,35250572,66304,2.6
742,35250573,61568,2.4
743,35250574,0,3.0
744,35250578,41344,3.1
745,35250579,0,3.0
746,35250580,29952,3.1
747,35250581,72192,2.9
748,35250582,44160,2.8
749,35250583,76288,3.0
750,35250585,35200,3.0
751,35250586,82176,2.7
752,35250587,0,4.0
753,35250588,0,3.0
754,35250589,83456,3.0
755,35250590,0,3.5
756,35250591,0,2.0
757,35250592,66304,2.4
758,35250593,46464,3.6
759,35250594,55552,2.9
760,35250595,0,2.8
761,35250596,53120,2.3
762,35250597,59776,3.4
763,35250598,72960,4.0
764,35250599,47232,2.4
765,35250600,52608,2.4
766,35250601,35456,2.2
767,35250602,61440,3.2
768,35250603,59264,2.7
769,35250604,64576,2.4
770,35250605,32448,2.8
771,35250606,66688,2.8
772,35250607,0,2.7
773,35250608,33920,3.2
774,35250609,69888,2.7
775,35250610,65664,2.6
776,35250611,48768,2.6
777,35250612,52608,2.9
778,35250613,54912,2.8
779,35250614,0,3.0
780,35250615,61056,3.0
781,35250616,69760,3.6
782,35250617,42368,3.2
783,35250618,0,4.0
784,35250619,0,2.5
785,35250620,0,2.5
786,35250621,59776,2.8
787,35250622,41216,2.8
788,35250623,50432,2.2
789,35250624,0,2.3
790,35250625,43648,2.8
791,35250626,57472,2.2
792,35250627,0,3.0
793,35250628,0,3.0
794,35250629,32320,2.5
795,35250630,0,2.8
796,35250631,0,3.7
797,35250632,44224,2.2
798,35250633,x,2.5
799,35250634,36352,2.8
800,35250635,53120,3.2
801,35250636,62336,3.0
802,35250637,31040,2.7
803,35250638,0,2.7
804,35250639,36096,2.9
805,35250640,0,4.5
806,35250641,63616,2.8
807,35250642,33024,2.7
808,35250643,0,2.5
809,35250644,0,3.0
810,35250645,0,2.3
811,35250646,61696,3.4
812,35250647,73984,2.7
813,35250648,41600,3.0
814,35250649,33984,2.9
815,35250650,28608,3.0
816,35250651,0,2.0
817,35250652,0,2.0
818,35250655,73984,2.5
819,35250656,35968,2.9
820,35250657,0,2.7
821,35250658,0,4.0
822,35250659,36224,2.8
823,35250661,61824,2.6
824,35250662,63872,3.0
825,35250663,60288,2.7
826,35250664,68608,2.5
827,35250665,0,3.0
828,35250666,0,3.0
829,35250667,x,2.5
830,35250668,0,2.3
831,35250669,0,2.0
832,35250670,0,3.0
833,35250671,0,2.0
834,35250672,0,2.0
835,35250675,0,2.0
836,35250676,0,2.5
837,35250677,0,2.3
838,35250678,0,3.5
839,35250679,0,2.0
840,35250680,0,2.0
841,35250681,62592,2.6
842,35250692,43392,2.8
843,35250693,42112,2.9
844,35250694,29312,3.0
845,35250695,31552,3.1
846,35250696,39296,3.4
847,35250700,35456,2.4
848,35250701,54528,2.8
