geo_code,,between 5am and 5:59,between 6am and 6:59,between 7am and 7:59,between 8am and 8:59,between 9am and 11:59,between 12pm and 4:49 am
35240807,female,15,30,70,60,30,30
35240807,male,45,25,65,40,20,20
35240808,female,0,35,35,25,15,25
35240808,male,10,20,45,25,10,15
35240809,female,0,0,0,10,0,0
35240809,male,0,10,0,10,10,10
35240898,female,10,115,240,195,50,95
35240898,male,115,175,180,155,45,135
35240903,female,x,x,x,x,x,x
35240903,male,x,x,x,x,x,x
35240904,female,10,65,120,105,35,25
35240904,male,30,70,145,60,45,45
35250030,female,0,10,20,30,10,20
35250030,male,15,15,25,25,10,10
35250031,female,0,10,20,45,10,10
35250031,male,20,35,20,10,0,15
35250032,female,0,10,30,40,25,20
35250032,male,10,30,55,35,15,30
35250033,female,0,10,25,70,0,0
35250033,male,15,25,45,35,20,10
35250034,female,10,20,45,65,25,25
35250034,male,15,50,40,40,20,35
35250035,female,0,25,20,40,20,15
35250035,male,30,25,20,25,0,25
35250036,female,0,20,30,45,15,20
35250036,male,10,10,45,55,10,10
35250037,female,0,15,25,45,10,10
35250037,male,10,20,30,40,15,30
35250038,female,10,25,30,35,10,25
35250038,male,0,30,35,25,25,15
35250039,female,10,20,25,25,20,25
35250039,male,25,10,0,0,0,15
35250040,female,0,15,20,25,10,10
35250040,male,10,0,20,15,0,15
35250041,female,0,15,30,25,15,20
35250041,male,15,55,10,10,15,10
35250042,female,10,15,0,15,10,15
35250042,male,0,25,15,0,10,10
35250043,female,0,25,40,30,40,0
35250043,male,10,35,45,30,20,15
35250044,female,0,10,15,30,10,0
35250044,male,10,20,15,10,10,10
35250045,female,15,0,25,30,10,25
35250045,male,15,30,35,10,15,15
35250046,female,0,10,40,40,15,15
35250046,male,0,10,60,45,15,15
35250047,female,0,10,30,30,30,10
35250047,male,10,10,35,50,10,10
35250048,female,0,15,20,15,0,0
35250048,male,0,10,20,15,10,0
35250049,female,0,0,25,35,20,10
35250049,male,15,15,25,25,10,10
35250050,female,0,20,25,35,15,20
35250050,male,0,30,10,10,10,15
35250051,female,10,40,95,90,40,30
35250051,male,20,65,90,65,20,45
35250052,female,0,15,35,0,0,10
35250052,male,0,30,15,10,10,0
35250053,female,0,0,40,70,40,0
35250053,male,10,10,30,65,40,15
35250054,female,0,10,25,20,20,15
35250054,male,15,15,25,10,10,0
35250055,female,15,15,45,70,15,20
35250055,male,25,30,25,40,10,25
35250056,female,0,0,15,25,0,0
35250056,male,0,15,25,10,0,0
35250059,female,10,20,90,90,35,40
35250059,male,20,70,70,75,40,40
35250060,female,10,10,70,35,20,10
35250060,male,0,20,50,25,0,15
35250061,female,0,15,20,20,10,15
35250061,male,0,10,40,25,10,0
35250062,female,0,20,35,35,35,0
